NU_INSCRICAO,TP_FAIXA_ETARIA,TP_SEXO,TP_ESTADO_CIVIL,TP_COR_RACA,TP_ESCOLA,IN_TREINEIRO,Q001,Q002,Q006,Q025,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,NU_NOTA_MT,NU_NOTA_REDACAO
210055243739,4,F,1,1,2,0,D,D,C,B,390.1,537.7,442.7,441.4,600.0
210055092856,2,F,1,3,2,0,D,E,E,B,564.0,581.3,604.5,590.4,780.0
210054977951,5,F,1,2,1,0,B,B,C,B,478.3,410.3,445.6,469.0,340.0
210055094382,2,F,1,1,1,1,C,D,B,B,483.0,487.3,501.4,540.0,0.0
210055092062,5,F,1,3,1,0,B,D,C,B,500.0,467.0,517.1,483.6,640.0
210056286084,5,F,1,3,1,0,C,E,D,B,474.9,477.9,469.7,422.8,420.0
210055190452,3,M,1,1,1,0,B,B,C,B,425.7,598.2,583.0,576.8,840.0
210057380268,7,F,1,2,1,0,H,E,B,B,454.2,529.3,475.0,560.0,500.0
210055030511,6,F,1,2,1,0,C,B,C,B,438.1,480.9,404.1,448.9,500.0
210057675465,10,F,1,3,1,0,B,B,B,B,511.1,515.0,512.8,451.6,500.0
210056310969,13,M,2,3,1,0,H,B,A,B,516.3,566.7,550.3,573.3,620.0
210056832359,3,M,1,2,2,0,G,F,H,B,636.4,675.7,641.5,732.6,620.0
210057685879,3,M,1,1,2,0,C,B,E,B,477.6,558.0,478.0,372.0,640.0
210055231598,3,F,1,3,2,0,B,E,D,B,476.5,510.2,535.0,652.6,400.0
210056634760,1,M,1,3,1,1,D,F,D,B,436.6,529.6,566.2,475.6,340.0
210057284587,3,M,1,1,1,0,C,E,D,B,463.9,547.5,513.0,500.7,540.0
210057803928,18,F,1,3,1,0,E,F,B,B,398.1,432.9,350.4,514.7,440.0
210054823923,3,F,1,1,3,0,G,G,I,B,505.1,620.4,601.5,500.4,740.0
210056354970,14,F,3,3,1,0,C,E,D,B,504.2,594.8,561.3,537.7,640.0
210055029223,4,F,1,1,1,0,F,E,C,B,490.2,521.4,528.7,591.4,540.0
210057997980,5,F,1,0,1,0,E,E,B,B,437.1,479.4,512.9,450.0,580.0
210055035221,2,M,1,3,2,0,G,E,F,B,585.0,621.1,611.2,579.7,800.0
210056788652,8,M,1,1,1,0,B,D,B,B,497.8,557.1,597.6,685.6,640.0
210054974523,3,M,1,1,2,0,C,C,O,B,442.7,461.8,486.0,517.0,720.0
210054711351,4,F,1,0,1,0,G,F,H,B,694.4,660.0,634.4,746.3,960.0
210055000058,7,F,1,1,1,0,B,B,B,B,450.4,437.4,516.9,488.1,760.0
210056814313,7,F,1,3,1,0,D,B,B,A,440.6,493.6,575.0,482.2,580.0
210054498250,15,M,2,1,1,0,B,C,D,B,498.6,597.7,544.4,502.8,620.0
210057708381,3,F,1,1,1,0,C,F,B,B,409.6,520.5,605.3,434.4,740.0
210055171644,4,F,1,3,2,0,D,E,B,B,464.9,527.8,569.1,362.6,600.0
210056836819,6,M,1,3,1,0,H,B,B,B,490.3,583.6,594.5,617.3,820.0
210055029612,3,F,1,3,2,0,E,E,B,B,476.7,524.4,518.7,551.0,620.0
210056163579,4,F,1,3,1,0,H,B,A,A,403.3,356.0,361.4,379.3,520.0
210056637360,3,F,1,3,3,0,H,F,L,B,530.0,605.8,611.8,683.3,820.0
210054963427,1,M,1,1,1,1,G,E,K,B,531.0,407.0,489.2,353.8,0.0
210055178828,5,M,0,2,2,0,D,D,C,B,402.3,497.0,519.9,447.0,320.0
210055049755,3,F,1,2,1,0,E,E,C,B,479.7,521.4,487.8,470.9,720.0
210054784394,7,M,1,3,1,0,E,F,B,B,520.1,496.4,500.0,616.8,560.0
210055193400,3,F,1,2,1,0,C,B,C,B,400.5,543.4,494.7,438.0,640.0
210057734403,4,F,1,1,1,0,B,H,C,B,391.7,505.3,483.8,569.9,0.0
210057724805,2,F,1,1,2,0,B,E,B,B,597.0,634.8,640.8,771.9,860.0
210054484877,11,F,1,2,1,0,C,C,B,B,500.7,537.8,556.2,595.0,500.0
210057616379,2,F,1,1,3,0,E,E,G,B,489.8,584.6,560.1,594.0,700.0
210055257098,12,M,3,1,1,0,H,E,B,B,444.6,405.8,419.0,437.6,360.0
210054963493,4,F,1,1,1,0,E,G,K,B,512.1,557.6,598.2,678.7,800.0
210055238004,4,F,1,3,2,0,D,D,D,B,391.4,406.3,352.4,405.6,0.0
210057705013,4,F,1,1,2,0,C,B,B,B,419.2,580.2,606.3,410.6,780.0
210057148331,4,M,1,2,1,0,F,E,E,B,538.7,610.0,547.8,532.4,640.0
210056641093,14,M,3,1,1,0,C,E,L,B,443.2,545.7,539.8,441.5,560.0
210055108830,3,F,1,1,1,0,H,E,B,B,603.1,587.6,586.2,622.2,780.0
210056664337,2,M,1,1,2,0,F,E,C,B,587.7,464.6,559.3,518.5,520.0
210056846633,3,M,1,1,1,0,C,F,C,B,466.2,544.5,541.4,625.5,900.0
210056208591,15,F,3,3,1,0,B,B,B,B,473.7,521.1,508.7,589.1,500.0
210057200411,3,M,1,3,2,0,B,E,A,B,510.1,591.6,538.3,470.2,620.0
210057622494,12,M,1,3,1,0,B,E,G,B,480.4,577.9,524.0,666.1,980.0
210054890315,3,F,1,3,2,0,H,D,B,B,461.1,474.3,494.4,456.9,640.0
210056738042,6,F,1,1,1,0,D,F,B,B,482.8,573.9,591.5,563.5,620.0
210054835974,6,F,1,3,1,0,B,D,A,B,414.2,535.7,562.1,400.6,340.0
210055467783,1,F,1,3,1,1,F,F,B,B,388.0,510.0,475.2,527.8,520.0
210055121127,4,F,1,3,1,0,D,E,A,B,422.7,468.6,486.4,539.4,860.0
210057211071,3,F,1,1,3,0,F,F,P,B,630.9,655.0,655.6,692.4,820.0
